ID_Client,Produit,Note,Commentaire
C001,Ordinateur portable,5,Produit conforme à la description.
C002,Casque audio,4,"Design élégant, mais un peu cher."
C003,Smartphone,4,"Design élégant, mais un peu cher."
C004,Montre connectée,2,Parfait pour mes besoins quotidiens.
C005,Tablette,2,Bon rapport qualité/prix.
C006,Ordinateur portable,3,Bon rapport qualité/prix.
C007,Smartphone,1,"Batterie décevante, mais fonctionnalités correctes."
C008,Smartphone,1,Bon rapport qualité/prix.
C009,Tablette,3,Bon rapport qualité/prix.
C010,Smartphone,1,"Service client réactif, problème vite résolu."
C011,Montre connectée,2,"Excellent produit, je recommande !"
C012,Tablette,5,Produit conforme à la description.
C013,Smartphone,5,"Excellent produit, je recommande !"
C014,Smartphone,5,Produit conforme à la description.
C015,Tablette,3,"Batterie décevante, mais fonctionnalités correctes."
C016,Tablette,1,"Batterie décevante, mais fonctionnalités correctes."
C017,Ordinateur portable,5,Bon rapport qualité/prix.
C018,Casque audio,5,Livraison rapide et efficace.
C019,Montre connectée,4,"Excellent produit, je recommande !"
C020,Montre connectée,5,Bon rapport qualité/prix.
C021,Montre connectée,4,"Très déçu, ne fonctionne pas comme prévu."
C022,Tablette,5,"Excellent produit, je recommande !"
C023,Montre connectée,5,Produit conforme à la description.
C024,Casque audio,1,Produit conforme à la description.
C025,Smartphone,2,"Service client réactif, problème vite résolu."
C026,Smartphone,4,"Excellent produit, je recommande !"
C027,Casque audio,5,Bon rapport qualité/prix.
C028,Tablette,2,"Service client réactif, problème vite résolu."
C029,Casque audio,5,"Qualité médiocre, je ne rachèterai pas."
C030,Montre connectée,4,Livraison rapide et efficace.
C031,Smartphone,5,Produit conforme à la description.
C032,Casque audio,4,Parfait pour mes besoins quotidiens.
C033,Smartphone,2,"Service client réactif, problème vite résolu."
C034,Casque audio,2,Livraison rapide et efficace.
C035,Casque audio,2,Produit conforme à la description.
C036,Tablette,5,"Service client réactif, problème vite résolu."
C037,Tablette,1,"Batterie décevante, mais fonctionnalités correctes."
C038,Tablette,2,"Qualité médiocre, je ne rachèterai pas."
C039,Casque audio,4,"Très déçu, ne fonctionne pas comme prévu."
C040,Montre connectée,2,"Très déçu, ne fonctionne pas comme prévu."
C041,Smartphone,3,Parfait pour mes besoins quotidiens.
C042,Ordinateur portable,5,Livraison rapide et efficace.
C043,Casque audio,1,"Service client réactif, problème vite résolu."
C044,Smartphone,4,Parfait pour mes besoins quotidiens.
C045,Casque audio,5,"Batterie décevante, mais fonctionnalités correctes."
C046,Tablette,4,"Design élégant, mais un peu cher."
C047,Smartphone,4,"Design élégant, mais un peu cher."
C048,Ordinateur portable,5,Produit conforme à la description.
C049,Smartphone,3,"Excellent produit, je recommande !"
C050,Tablette,5,Parfait pour mes besoins quotidiens.
C051,Casque audio,2,"Qualité médiocre, je ne rachèterai pas."
C052,Smartphone,4,Livraison rapide et efficace.
C053,Smartphone,3,Bon rapport qualité/prix.
C054,Montre connectée,3,"Batterie décevante, mais fonctionnalités correctes."
C055,Smartphone,4,"Batterie décevante, mais fonctionnalités correctes."
C056,Casque audio,3,"Très déçu, ne fonctionne pas comme prévu."
C057,Smartphone,1,Produit conforme à la description.
C058,Smartphone,3,"Service client réactif, problème vite résolu."
C059,Tablette,4,Produit conforme à la description.
C060,Ordinateur portable,5,"Qualité médiocre, je ne rachèterai pas."
C061,Casque audio,4,Produit conforme à la description.
C062,Smartphone,3,"Batterie décevante, mais fonctionnalités correctes."
C063,Smartphone,4,Livraison rapide et efficace.
C064,Tablette,2,Livraison rapide et efficace.
